Index	Vertex	feature	normal		position		member	gl_Position				member_1			
0	4	1	 1226	-3907	 2811	 2219	 0.000000	-0.887955	-0.857265	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
1	5	1	-1394	-3851	 2779	 2223	 0.000000	-0.893488	-0.858219	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
2	9	1	 1284	-3889	 2841	 2246	 0.000000	-0.883256	-0.863598	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
3	9	1	 1284	-3889	 2841	 2246	 0.000000	-0.883256	-0.863598	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
4	5	1	-1394	-3851	 2779	 2223	 0.000000	-0.893488	-0.858219	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
5	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
6	7	1	 1543	-3794	 2618	 2236	 0.000000	-0.918047	-0.861284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
7	6	1	-1812	-3673	 2570	 2230	 0.000000	-0.926229	-0.859914	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
8	10	1	 3470	-2175	 2651	 2261	 0.000000	-0.912498	-0.867637	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
9	10	1	 3470	-2175	 2651	 2261	 0.000000	-0.912498	-0.867637	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
10	6	1	-1812	-3673	 2570	 2230	 0.000000	-0.926229	-0.859914	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
11	12	1	 2596	-3167	 2652	 2266	 0.000000	-0.912520	-0.868506	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
12	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
13	12	1	 2596	-3167	 2652	 2266	 0.000000	-0.912520	-0.868506	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
14	14	1	-767	-4023	 2650	 2267	 0.000000	-0.913517	-0.868479	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
15	12	1	 2596	-3167	 2652	 2266	 0.000000	-0.912520	-0.868506	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
16	6	1	-1812	-3673	 2570	 2230	 0.000000	-0.926229	-0.859914	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
17	14	1	-767	-4023	 2650	 2267	 0.000000	-0.913517	-0.868479	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
18	14	1	-767	-4023	 2650	 2267	 0.000000	-0.913517	-0.868479	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
19	6	1	-1812	-3673	 2570	 2230	 0.000000	-0.926229	-0.859914	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
20	16	1	-1567	 3784	 2651	 2268	 0.000000	-0.913523	-0.871096	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
21	16	1	-1567	 3784	 2651	 2268	 0.000000	-0.913523	-0.871096	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
22	6	1	-1812	-3673	 2570	 2230	 0.000000	-0.926229	-0.859914	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
23	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
24	17	1	-4065	-500	 2654	 2268	 0.000000	-0.913563	-0.869789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
25	16	1	-1567	 3784	 2651	 2268	 0.000000	-0.913523	-0.871096	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
26	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
27	11	1	 1103	-3944	 2908	 2265	 0.000000	-0.872824	-0.868035	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
28	18	1	-3014	-2773	 2901	 2268	 0.000000	-0.874755	-0.869095	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
29	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
30	11	1	 1103	-3944	 2908	 2265	 0.000000	-0.872824	-0.868035	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
31	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
32	21	1	 626	-4047	 2918	 2279	 0.000000	-0.871358	-0.871284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
33	15	1	-1115	-3941	 2934	 2267	 0.000000	-0.869212	-0.868504	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
34	21	1	 626	-4047	 2918	 2279	 0.000000	-0.871358	-0.871284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
35	22	1	 943	-3985	 3064	 2279	 0.000000	-0.848481	-0.871303	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
36	8	1	 1058	-3956	 2862	 2244	 0.000000	-0.880020	-0.863109	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
37	9	1	 1284	-3889	 2841	 2246	 0.000000	-0.883256	-0.863598	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
38	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
39	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
40	14	1	-767	-4023	 2650	 2267	 0.000000	-0.913517	-0.868479	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
41	17	1	-4065	-500	 2654	 2268	 0.000000	-0.913563	-0.869789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
42	8	1	 1058	-3956	 2862	 2244	 0.000000	-0.880020	-0.863109	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
43	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
44	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
45	13	1	-1152	-3930	 2712	 2266	 0.000000	-0.903907	-0.868273	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
46	17	1	-4065	-500	 2654	 2268	 0.000000	-0.913563	-0.869789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
47	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
48	17	1	-4065	-500	 2654	 2268	 0.000000	-0.913563	-0.869789	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
49	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
50	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
51	20	1	-1271	-3893	 2900	 2271	 0.000000	-0.874557	-0.869456	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
52	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
53	21	1	 626	-4047	 2918	 2279	 0.000000	-0.871358	-0.871284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
54	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
55	23	1	-3025	-2761	 2512	 2287	 0.000000	-0.935539	-0.873552	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
56	24	1	 2896	 2896	 2514	 2294	 0.000000	-0.934021	-0.876919	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
57	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
58	24	1	 2896	 2896	 2514	 2294	 0.000000	-0.934021	-0.876919	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
59	25	1	 4043	-656	 2517	 2294	 0.000000	-0.933319	-0.875835	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
60	21	1	 626	-4047	 2918	 2279	 0.000000	-0.871358	-0.871284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
61	19	1	-2763	-3023	 2546	 2271	 0.000000	-0.930173	-0.869722	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
62	25	1	 4043	-656	 2517	 2294	 0.000000	-0.933319	-0.875835	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
63	22	1	 943	-3985	 3064	 2279	 0.000000	-0.848481	-0.871303	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
64	21	1	 626	-4047	 2918	 2279	 0.000000	-0.871358	-0.871284	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
65	25	1	 4043	-656	 2517	 2294	 0.000000	-0.933319	-0.875835	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
66	22	1	 943	-3985	 3064	 2279	 0.000000	-0.848481	-0.871303	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
67	25	1	 4043	-656	 2517	 2294	 0.000000	-0.933319	-0.875835	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
68	26	1	-2587	 3174	 2514	 2295	 0.000000	-0.935137	-0.877238	 0.001000	 1.000000	 0.054902	 0.709804	 0.874510	 1.000000
